
                           PyRate - 20170222

           Bayesian estimation of speciation and extinction
                  rates from fossil occurrence data        

               Daniele Silvestro, Jan Schnitzler et al.
                        pyrate.help@gmail.com




The analysis includes 211 species (0 were excluded)
Using Gamma priors on the birth-death rates (G_l[1.1,1.1], G_m[1.1,1.1]).


DATA SUMMARY

211 species included in the data set
51 species have a single occurrence, 9 species are extant
2946 fossil occurrences (1 replicates), ranging from 53.821 (+/- 0.0) to 0.001 (+/- 0.0) Ma

Taxon	FA	LA
Psalidocyon_marianae	17.463	15.183	
Pseudalopex_gymnocercus	1.095	0.01	extant
Rhizocyon_oregonensis	24.291	20.551	
Speothos	1.634	1.634	
Speothos_venaticus	0.008	0.008	
Sunkahetanka_geringensis	29.739	25.724	
Tephrocyon_rurestris	15.812	11.653	
Theriodictis	1.973	0.066	
Theriodictis_floridanus	3.952	3.361	
Tomarctus	15.343	11.593	
Tomarctus_brevirostris	20.126	11.516	
Tomarctus_hippophaga	20.209	13.614	
Urocyon	13.56	0.018	
Urocyon_cinereoargenteus	3.622	0.004	
Urocyon_citrinus	4.797	4.797	
Urocyon_galushai	4.575	2.76	
Urocyon_minicephalus	1.791	0.968	
Urocyon_progressus	2.808	2.808	
Urocyon_webbi	5.795	5.795	
Vulpes	5.82	0.004	
Vulpes_cascadensis	0.074	0.074	
Vulpes_chama	2.334	0.002	
Vulpes_kernensis	10.511	10.511	
Vulpes_mathisoni	4.808	4.808	
Vulpes_stenognathus	15.561	0.938	
Vulpes_velox	4.515	0.017	
Vulpes_vulpes	2.964	0.006	
Vulpes_vulpes_macroura	0.118	0.118	
Vulpini	0.021	0.021	
Xenocyon	1.982	0.424	
Xenocyon_lycaonoides	2.186	0.196	
Xenocyon_texanus	0.638	0.638	
